,County,netMigration,Year,netMigration2,netMigration3
0,Alameda,3656,2014,3656,0
1,Alpine,2917,2013,2917,0
2,Amador,1142,2014,1142,0
3,Butte,2049,2014,2049,0
4,Calaveras,1598,2014,1598,0
5,Colusa,1543,2014,1543,0
6,Contra Costa,5407,2014,5407,0
7,Del Norte,2732,2014,2732,0
8,El Dorado,-2158,2014,0,2158
9,Fresno,1894,2014,1894,0
10,Glenn,1732,2014,1732,0
11,Humboldt,-285,2014,0,285
12,Imperial,5450,2014,5450,0
13,Inyo,903,2014,903,0
14,Kern,294,2014,294,0
15,Kings,-2228,2014,0,2228
16,Lake,5453,2014,5453,0
17,Lassen,1302,2014,1302,0
18,Los Angeles,3101,2014,3101,0
19,Madera,631,2014,631,0
20,Marin,11491,2014,11491,0
21,Mariposa,-234,2014,0,234
22,Mendocino,10145,2014,10145,0
23,Merced,-2332,2014,0,2332
24,Modoc,752,2014,752,0
25,Mono,890,2014,890,0
26,Monterey,2124,2014,2124,0
27,Napa,2296,2014,2296,0
28,Nevada,-1634,2014,0,1634
29,Orange,3170,2014,3170,0
30,Placer,6242,2014,6242,0
31,Plumas,1822,2014,1822,0
32,Riverside,3192,2014,3192,0
33,Sacramento,1576,2014,1576,0
34,San Benito,-1682,2014,0,1682
35,San Bernardino,3268,2014,3268,0
36,San Diego,4641,2014,4641,0
37,San Francisco,9996,2014,9996,0
38,San Joaquin,-1496,2014,0,1496
39,San Luis Obispo,-2349,2014,0,2349
40,San Mateo,10926,2014,10926,0
41,Santa Barbara,8858,2014,8858,0
42,Santa Clara,5315,2014,5315,0
43,Santa Cruz,-4695,2014,0,4695
44,Shasta,-4490,2014,0,4490
45,Sierra,1842,2014,1842,0
46,Siskiyou,2019,2014,2019,0
47,Solano,1932,2014,1932,0
48,Sonoma,3137,2014,3137,0
49,Stanislaus,5528,2014,5528,0
50,Sutter,2139,2014,2139,0
51,Tehama,1794,2014,1794,0
52,Trinity,2253,2014,2253,0
53,Tulare,-922,2014,0,922
54,Tuolumne,1395,2014,1395,0
55,Ventura,7129,2014,7129,0
56,Yolo,88,2014,88,0
57,Yuba,-4465,2014,0,4465
