County,netMigration,Year
Alameda,36453,2014
Alpine,20938,2013
Amador,16983,2014
Butte,15065,2014
Calaveras,14239,2014
Colusa,18942,2014
Contra Costa,32064,2014
Del Norte,29834,2014
El Dorado,14850,2014
Fresno,13271,2014
Glenn,18934,2014
Humboldt,10677,2014
Imperial,12868,2014
Inyo,7342,2014
Kern,6883,2014
Kings,9109,2014
Lake,19029,2014
Lassen,16092,2014
Los Angeles,18183,2014
Madera,3710,2014
Marin,45341,2014
Mariposa,3549,2014
Mendocino,25002,2014
Merced,9153,2014
Modoc,7932,2014
Mono,12586,2014
Monterey,17607,2014
Napa,29926,2014
Nevada,30554,2014
Orange,22296,2014
Placer,20057,2014
Plumas,14945,2014
Riverside,14268,2014
Sacramento,17487,2014
San Benito,15834,2014
San Bernardino,11320,2014
San Diego,23885,2014
San Francisco,50882,2014
San Joaquin,15968,2014
San Luis Obispo,19386,2014
San Mateo,52081,2014
Santa Barbara,17919,2014
Santa Clara,45193,2014
Santa Cruz,30613,2014
Shasta,19362,2014
Sierra,15872,2014
Siskiyou,17934,2014
Solano,19993,2014
Sonoma,28378,2014
Stanislaus,12819,2014
Sutter,10257,2014
Tehama,17934,2014
Trinity,18334,2014
Tulare,6988,2014
Tuolumne,15382,2014
Ventura,16976,2014
Yolo,20421,2014
Yuba,14968,2014
