,County,netMigration,Year,netMigration2,netMigration3
0,Alameda,3439,2014,3439,0
1,Alpine,1873,2013,1873,0
2,Amador,1734,2014,1734,0
3,Butte,3257,2014,3257,0
4,Calaveras,932,2014,932,0
5,Colusa,2421,2014,2421,0
6,Contra Costa,969,2014,969,0
7,Del Norte,3221,2014,3221,0
8,El Dorado,6289,2014,6289,0
9,Fresno,-506,2014,0,506
10,Glenn,2231,2014,2231,0
11,Humboldt,361,2014,361,0
12,Imperial,-3315,2014,0,3315
13,Inyo,591,2014,591,0
14,Kern,2655,2014,2655,0
15,Kings,110,2014,110,0
16,Lake,-5638,2014,0,5638
17,Lassen,1922,2014,1922,0
18,Los Angeles,36,2014,36,0
19,Madera,-65,2014,0,65
20,Marin,17144,2014,17144,0
21,Mariposa,521,2014,521,0
22,Mendocino,-6777,2014,0,6777
23,Merced,1951,2014,1951,0
24,Modoc,1032,2014,1032,0
25,Mono,1389,2014,1389,0
26,Monterey,1711,2014,1711,0
27,Napa,2170,2014,2170,0
28,Nevada,2053,2014,2053,0
29,Orange,1445,2014,1445,0
30,Placer,3618,2014,3618,0
31,Plumas,1384,2014,1384,0
32,Riverside,-832,2014,0,832
33,Sacramento,1545,2014,1545,0
34,San Benito,2182,2014,2182,0
35,San Bernardino,-726,2014,0,726
36,San Diego,2491,2014,2491,0
37,San Francisco,4428,2014,4428,0
38,San Joaquin,2010,2014,2010,0
39,San Luis Obispo,7745,2014,7745,0
40,San Mateo,-3382,2014,0,3382
41,Santa Barbara,-377,2014,0,377
42,Santa Clara,4553,2014,4553,0
43,Santa Cruz,8710,2014,8710,0
44,Shasta,4468,2014,4468,0
45,Sierra,1742,2014,1742,0
46,Siskiyou,2202,2014,2202,0
47,Solano,-1505,2014,0,1505
48,Sonoma,1847,2014,1847,0
49,Stanislaus,2771,2014,2771,0
50,Sutter,1775,2014,1775,0
51,Tehama,1784,2014,1784,0
52,Trinity,-1704,2014,0,1704
53,Tulare,-1126,2014,0,1126
54,Tuolumne,1884,2014,1884,0
55,Ventura,390,2014,390,0
56,Yolo,-249,2014,0,249
57,Yuba,2734,2014,2734,0
