,County,netMigration,Year,netMigration2,netMigration3
0,Alameda,6948,2014,6948,0
1,Alpine,-2234,2013,0,2234
2,Amador,900,2014,900,0
3,Butte,-3036,2014,0,3036
4,Calaveras,1183,2014,1183,0
5,Colusa,2021,2014,2021,0
6,Contra Costa,2458,2014,2458,0
7,Del Norte,-2843,2014,0,2843
8,El Dorado,4656,2014,4656,0
9,Fresno,2180,2014,2180,0
10,Glenn,1521,2014,1521,0
11,Humboldt,4144,2014,4144,0
12,Imperial,-2598,2014,0,2598
13,Inyo,1342,2014,1342,0
14,Kern,3245,2014,3245,0
15,Kings,7003,2014,7003,0
16,Lake,3465,2014,3465,0
17,Lassen,1423,2014,1423,0
18,Los Angeles,3052,2014,3052,0
19,Madera,7188,2014,7188,0
20,Marin,10275,2014,10275,0
21,Mariposa,246,2014,246,0
22,Mendocino,-4030,2014,0,4030
23,Merced,-488,2014,0,488
24,Modoc,922,2014,922,0
25,Mono,-1382,2014,0,1382
26,Monterey,2715,2014,2715,0
27,Napa,9769,2014,9769,0
28,Nevada,-5758,2014,0,5758
29,Orange,2023,2014,2023,0
30,Placer,543,2014,543,0
31,Plumas,1428,2014,1428,0
32,Riverside,3397,2014,3397,0
33,Sacramento,608,2014,608,0
34,San Benito,1832,2014,1832,0
35,San Bernardino,1174,2014,1174,0
36,San Diego,988,2014,988,0
37,San Francisco,14937,2014,14937,0
38,San Joaquin,771,2014,771,0
39,San Luis Obispo,2142,2014,2142,0
40,San Mateo,1874,2014,1874,0
41,Santa Barbara,4272,2014,4272,0
42,Santa Clara,7565,2014,7565,0
43,Santa Cruz,-2132,2014,0,2132
44,Shasta,2776,2014,2776,0
45,Sierra,1283,2014,1283,0
46,Siskiyou,2023,2014,2023,0
47,Solano,777,2014,777,0
48,Sonoma,1926,2014,1926,0
49,Stanislaus,4080,2014,4080,0
50,Sutter,-3613,2014,0,3613
51,Tehama,1794,2014,1794,0
52,Trinity,1724,2014,1724,0
53,Tulare,3200,2014,3200,0
54,Tuolumne,-1446,2014,0,1446
55,Ventura,5263,2014,5263,0
56,Yolo,2716,2014,2716,0
57,Yuba,10527,2014,10527,0
