,County,netMigration,Year,netMigration2,netMigration3
0,Alameda,7445,2014,7445,0
1,Alpine,2406,2013,2406,0
2,Amador,1784,2014,1784,0
3,Butte,4577,2014,4577,0
4,Calaveras,1508,2014,1508,0
5,Colusa,2057,2014,2057,0
6,Contra Costa,7984,2014,7984,0
7,Del Norte,3064,2014,3064,0
8,El Dorado,433,2014,433,0
9,Fresno,4268,2014,4268,0
10,Glenn,2306,2014,2306,0
11,Humboldt,241,2014,241,0
12,Imperial,4056,2014,4056,0
13,Inyo,908,2014,908,0
14,Kern,109,2014,109,0
15,Kings,826,2014,826,0
16,Lake,6181,2014,6181,0
17,Lassen,1896,2014,1896,0
18,Los Angeles,4447,2014,4447,0
19,Madera,-86,2014,0,86
20,Marin,10151,2014,10151,0
21,Mariposa,506,2014,506,0
22,Mendocino,9043,2014,9043,0
23,Merced,-1481,2014,0,1481
24,Modoc,906,2014,906,0
25,Mono,-594,2014,0,594
26,Monterey,4000,2014,4000,0
27,Napa,10791,2014,10791,0
28,Nevada,11432,2014,11432,0
29,Orange,2285,2014,2285,0
30,Placer,-5838,2014,0,5838
31,Plumas,1722,2014,1722,0
32,Riverside,5457,2014,5457,0
33,Sacramento,4015,2014,4015,0
34,San Benito,2024,2014,2024,0
35,San Bernardino,4361,2014,4361,0
36,San Diego,6523,2014,6523,0
37,San Francisco,6710,2014,6710,0
38,San Joaquin,4699,2014,4699,0
39,San Luis Obispo,4391,2014,4391,0
40,San Mateo,7413,2014,7413,0
41,Santa Barbara,8418,2014,8418,0
42,Santa Clara,8078,2014,8078,0
43,Santa Cruz,5193,2014,5193,0
44,Shasta,9203,2014,9203,0
45,Sierra,1621,2014,1621,0
46,Siskiyou,2004,2014,2004,0
47,Solano,3444,2014,3444,0
48,Sonoma,6484,2014,6484,0
49,Stanislaus,2251,2014,2251,0
50,Sutter,1283,2014,1283,0
51,Tehama,1943,2014,1943,0
52,Trinity,2132,2014,2132,0
53,Tulare,2727,2014,2727,0
54,Tuolumne,1842,2014,1842,0
55,Ventura,4657,2014,4657,0
56,Yolo,3490,2014,3490,0
57,Yuba,4229,2014,4229,0
