,County,netMigration,Year,netMigration2,netMigration3
0,Alameda,3331,2014,3331,0
1,Alpine,2044,2013,2044,0
2,Amador,1487,2014,1487,0
3,Butte,-999,2014,0,999
4,Calaveras,1302,2014,1302,0
5,Colusa,1921,2014,1921,0
6,Contra Costa,2926,2014,2926,0
7,Del Norte,2984,2014,2984,0
8,El Dorado,-3185,2014,0,3185
9,Fresno,-144,2014,0,144
10,Glenn,1913,2014,1913,0
11,Humboldt,-634,2014,0,634
12,Imperial,699,2014,699,0
13,Inyo,734,2014,734,0
14,Kern,-384,2014,0,384
15,Kings,3476,2014,3476,0
16,Lake,3302,2014,3302,0
17,Lassen,1623,2014,1623,0
18,Los Angeles,1563,2014,1563,0
19,Madera,-7719,2014,0,7719
20,Marin,-4432,2014,0,4432
21,Mariposa,324,2014,324,0
22,Mendocino,9724,2014,9724,0
23,Merced,-4346,2014,0,4346
24,Modoc,814,2014,814,0
25,Mono,1186,2014,1186,0
26,Monterey,-221,2014,0,221
27,Napa,1892,2014,1892,0
28,Nevada,6749,2014,6749,0
29,Orange,3218,2014,3218,0
30,Placer,214,2014,214,0
31,Plumas,1532,2014,1532,0
32,Riverside,-645,2014,0,645
33,Sacramento,299,2014,299,0
34,San Benito,1895,2014,1895,0
35,San Bernardino,-647,2014,0,647
36,San Diego,-495,2014,0,495
37,San Francisco,2046,2014,2046,0
38,San Joaquin,-384,2014,0,384
39,San Luis Obispo,-2344,2014,0,2344
40,San Mateo,11258,2014,11258,0
41,Santa Barbara,-319,2014,0,319
42,Santa Clara,4949,2014,4949,0
43,Santa Cruz,2576,2014,2576,0
44,Shasta,808,2014,808,0
45,Sierra,1497,2014,1497,0
46,Siskiyou,1873,2014,1873,0
47,Solano,2744,2014,2744,0
48,Sonoma,4597,2014,4597,0
49,Stanislaus,-3733,2014,0,3733
50,Sutter,3561,2014,3561,0
51,Tehama,1853,2014,1853,0
52,Trinity,1954,2014,1954,0
53,Tulare,-1295,2014,0,1295
54,Tuolumne,1621,2014,1621,0
55,Ventura,493,2014,493,0
56,Yolo,-392,2014,0,392
57,Yuba,-3370,2014,0,3370
