CIK,OFFER_TYPE,NAME,LOCATION,SYMBOL,EXCHANGE,FILING_DATE,PRICE_LOW,PRICE_HIGH,AMOUNT,UWRITERS
1707753,IPO,Elastic N.V.,"Mountain View, CA",ESTC,NYSE,2018-09-05,33,35,$281.8 mil.,"Goldman Sachs & Co., J.P. Morgan, Barclays Capital, RBC Capital Markets, BofA Merrill Lynch, Citigroup, Jefferies, Canaccord Genuity"
1382101,IPO,"Sutro Biopharma, Inc.","South San Francisco, CA",STRO,Nasdaq NM,2018-08-29,14,16,$92.0 mil.,"Cowen, Piper Jaffray, JMP Securities, Wedbush PacGrow Life Sciences"
1739936,IPO,SVMK Inc. (SurveyMonkey),"San Mateo, CA",SVMK,Nasdaq NM,2018-08-29,9,11,$170.8 mil.,"J.P. Morgan, Allen & Co. Inc., BofA Merrill Lynch, Credit Suisse, UBS Investment Bank, Wells Fargo Securities, SunTrust Robinson Humphrey, CODE Advisors, Foros, JMP Securities, LionTree"
1656634,IPO,"Gritstone Oncology, Inc.","Emeryville, CA",GRTS,Nasdaq NM,2018-08-23,13,15,$104.7 mil.,"Goldman Sachs & Co., Cowen, Barclays Capital, BTIG"
1475115,IPO,"Eventbrite, Inc.","San Francisco, CA",EB,NYSE,2018-08-23,21,23,$264.5 mil.,"Goldman Sachs & Co., J.P. Morgan, Allen & Co. Inc., RBC Capital Markets, SunTrust Robinson Humphrey, Stifel"
1510487,IPO,Principia Biopharma Inc.,"South San Francisco, CA",PRNB,Nasdaq NM,2018-08-17,15,17,$122.2 mil.,"BofA Merrill Lynch, SVB Leerink, Wells Fargo Securities, Baird"
1566610,IPO,"Verb Technology Company, Inc.","Los Angeles, CA",VERB,Nasdaq NM,2018-08-14,7.65,-,$23.0 mil.,A.G.P.
1720821,IPO,"Gores Holdings III, Inc.","Beverly Hills, CA",GRSHU,Nasdaq NM,2018-08-10,10,-,$375.0 mil.,Deutsche Bank Securities
1614067,IPO,"Aridis Pharmaceuticals, Inc.","San Jose, CA",ARDS,Nasdaq NM,2018-07-18,13,15,$34.5 mil.,"Cantor, Maxim Group LLC, Northland Capital Markets, Laidlaw & Company, Seaport Global Securities"
1423869,IPO,Pacific City Financial Corp.,"Los Angeles, CA",PCB,Nasdaq NM,2018-07-17,20,22,$60.3 mil.,"Keefe, Bruyette & Woods, Raymond James, Sandler, O Neill & Partners"
1716621,IPO,"Ra Medical Systems, Inc.","Carlsbad, CA",RMED,NYSE,2018-07-16,14,16,$61.3 mil.,"Piper Jaffray, Cantor, SunTrust Robinson Humphrey, Nomura Securities, Maxim Group LLC"
1643301,IPO,Cure Pharmaceutical Holding Corp.,"Oxnard, CA",CURR,Nasdaq NM,2018-07-09,5,7,$24.7 mil.,"Network 1 Financial Securities, Inc."
1314727,IPO,Sonos Inc,"Santa Barbara, CA",SONO,Nasdaq NM,2018-07-06,17,19,$303.5 mil.,"Morgan Stanley, Goldman Sachs & Co., Allen & Co. Inc., RBC Capital Markets, Jefferies, KKR, Raymond James, Stifel"
1736946,IPO,"Arlo Technologies, Inc.","San Jose, CA",ARLO,NYSE,2018-07-06,18,20,$234.9 mil.,"BofA Merrill Lynch, Deutsche Bank Securities, Guggenheim Securities, Raymond James, Cowen, Imperial Capital"
1411690,IPO,"BioNano Genomics, Inc","San Diego, CA",BNGO,Nasdaq NM,2018-06-28,6,7,$19.7 mil.,"Roth Capital Partners, Maxim Group LLC, LifeSci Capital LLC"
1658247,IPO,"Crinetics Pharmaceuticals, Inc.","San Diego, CA",CRNX,Nasdaq NM,2018-06-22,15,17,$97.8 mil.,"J.P. Morgan, SVB Leerink, Piper Jaffray"
1664703,IPO,Bloom Energy Corp,"Sunnyvale, CA",BE,NYSE,2018-06-12,13,15,$310.5 mil.,"J.P. Morgan, Morgan Stanley, Credit Suisse, KeyBanc Capital Markets, BofA Merrill Lynch, Baird, Cowen, HSBC, Oppenheimer & Co. Inc., Raymond James"
1595585,IPO,"Tricida, Inc.","South San Francisco, CA",TCDA,Nasdaq NM,2018-06-04,16,18,$213.2 mil.,"Goldman Sachs & Co., J.P. Morgan, Cowen"
1667633,IPO,"Forty Seven, Inc.","Menlo Park, CA",FTSV,Nasdaq NM,2018-06-01,14,16,$123.3 mil.,"Morgan Stanley, Credit Suisse, Canaccord Genuity   , BTIG, Oppenheimer & Co. Inc."
1731831,IPO,"Eidos Therapeutics, Inc.","San Francisco, CA",EIDX,Nasdaq NM,2018-05-25,15,17,$122.2 mil.,"J.P. Morgan, BofA Merrill Lynch, Barclays Capital"
1645666,IPO,"Kezar Life Sciences, Inc.","South San Francisco, CA",KZR,Nasdaq NM,2018-05-24,14,16,$85.9 mil.,"Jefferies, Cowen, Wells Fargo Securities, William Blair & Co."
1713832,IPO,HyreCar Inc.,"Los Angeles, CA",HYRE,Nasdaq NM,2018-05-23,5,6,$13.8 mil.,"Network 1 Financial Securities, Inc."
1278150,IPO,"Adaptive Insights, Inc.","Palo Alto, CA",ADIN,NYSE,2018-05-17,13,15,$141.5 mil.,"Morgan Stanley, BofA Merrill Lynch, Jefferies, RBC Capital Markets, JMP Securities, Oppenheimer & Co. Inc."
1691077,IPO,"YayYo, Inc.","Beverly Hills, CA",YAYO,Nasdaq NM,2018-04-30,4,-,$11.5 mil.,Aegis Capital Corp.
1730984,IPO,BayCom Corp,"Walnut Creek, CA",BCML,Nasdaq NM,2018-04-11,21,23,$57.5 mil.,"FIG Partners LLC, D.A. Davidson & Co."
1463361,IPO,"Unity Biotechnology, Inc.","Brisbane, CA",UBX,Nasdaq NM,2018-04-05,16,18,$103.5 mil.,"Goldman Sachs & Co., Morgan Stanley, Citigroup, Mizuho Securities USA Inc."
1261333,IPO,"DocuSign, Inc.","San Francisco, CA",DOCU,Nasdaq NM,2018-03-28,26,28,$698.7 mil.,"Morgan Stanley, J.P. Morgan, Citigroup, BofA Merrill Lynch, Deutsche Bank Securities, JMP Securities, Piper Jaffray, William Blair & Co."
1574135,IPO,"Pivotal Software, Inc.","San Francisco, CA",PVTL,NYSE,2018-03-23,14,16,$680.8 mil.,"Morgan Stanley, Goldman Sachs & Co., Citigroup, BofA Merrill Lynch, Barclays Capital, Credit Suisse, RBC Capital Markets, UBS Investment Bank, Wells Fargo Securities, KeyBanc Capital Markets, William Blair & Co."
1423774,IPO,"Zuora, Inc.","San Mateo, CA",ZUO,NYSE,2018-03-16,11,13,$154.0 mil.,"Goldman Sachs & Co., Morgan Stanley, Allen & Co. Inc., Jefferies, Canaccord Genuity   , Needham & Company"
1722010,IPO,OP Bancorp,"Los Angeles, CA",OPBK,OTC BB,2018-03-05,9.5,11.5,$26.5 mil.,"Keefe, Bruyette & Woods, D.A. Davidson & Co."
1467623,IPO,"Dropbox, Inc.","San Francisco, CA",DBX,Nasdaq NM,2018-02-23,18,20,$684.0 mil.,"Goldman Sachs & Co., J.P. Morgan, Deutsche Bank Securities, Allen & Co. Inc., BofA Merrill Lynch, RBC Capital Markets, Jefferies, Macquarie Capital , Canaccord Genuity   , JMP Securities, KeyBanc Capital Markets, Piper Jaffray"
1713683,IPO,"Zscaler, Inc.","San Jose, CA",ZS,Nasdaq NM,2018-02-16,13,15,$207.0 mil.,"Morgan Stanley, Goldman Sachs & Co., BofA Merrill Lynch, Barclays Capital, Deutsche Bank Securities, Credit Suisse, UBS Investment Bank, Baird, BTIG, Needham & Company, Stephens, Inc."
1724521,IPO,"Arcus Biosciences, Inc.","Hayward, CA",RCUS,NYSE,2018-02-16,13,15,$122.5 mil.,"Citigroup, Goldman Sachs & Co., SVB Leerink"
1723648,IPO,Crescent Funding Inc.,"Los Angeles, CA",CFUNU,Nasdaq NM,2018-01-12,10,-,$287.5 mil.,"UBS Investment Bank, BofA Merrill Lynch, Stifel"
1570562,IPO,"Evolus, Inc.","Irvine, CA",EOLS,Nasdaq NM,2018-01-09,12,14,$80.5 mil.,"Cantor, Mizuho Securities USA Inc., SunTrust Robinson Humphrey, JMP Securities"
1693664,IPO,"ARMO BioSciences, Inc.","Redwood City, CA",ARMO,Nasdaq NM,2017-12-29,14,16,$122.7 mil.,"Jefferies, SVB Leerink, BMO Capital Markets, Baird"
1566044,IPO,Menlo Therapeutics Inc.,"Redwood City, CA",MNLO,Nasdaq NM,2017-12-28,16,17,$127.1 mil.,"Jefferies, Piper Jaffray, Guggenheim Securities, JMP Securities"
1718512,IPO,Gates Industrial Corporation plc,"Denver, CA",GTES,NYSE,2017-12-27,18,21,$929.8 mil.,"Citigroup, Morgan Stanley, UBS Investment Bank, Barclays Capital, Credit Suisse, Goldman Sachs & Co., RBC Capital Markets"
1712189,IPO,Target Hospitality Corp.,"Los Angeles, CA",EAGLU,Nasdaq NM,2017-12-22,10,-,$345.0 mil.,"Deutsche Bank Securities, BofA Merrill Lynch, I-Bankers Securities, Inc."
1720353,IPO,Nebula Acquisition Corp,"San Francisco, CA",NEBU.U,Nasdaq NM,2017-12-18,10,-,$287.5 mil.,"Deutsche Bank Securities, Goldman Sachs & Co."
1394056,IPO,"One Stop Systems, Inc","Escondido, CA",OSS,Nasdaq NM,2017-12-18,6,8,$26.5 mil.,Roth Capital Partners
1719489,IPO,"GigCapital, Inc.","Palo Alto, CA",GIG.U,NYSE,2017-11-15,10,-,$172.5 mil.,Cowen
1717452,IPO,"Odonate Therapeutics, LLC","San Diego, CA",ODT,Nasdaq NM,2017-11-13,24,27,$182.6 mil.,"Goldman Sachs & Co., Cowen, Jefferies"
1714899,IPO,Denali Therapeutics Inc.,"South San Francisco, CA",DNLI,Nasdaq NM,2017-11-13,17,19,$303.5 mil.,"Goldman Sachs & Co., Morgan Stanley, J.P. Morgan, Evercore ISI"
1475348,IPO,Luther Burbank Corp,"Santa Rosa, CA",LBC,Nasdaq NM,2017-11-09,10.5,12.5,$163.2 mil.,"Keefe, Bruyette & Woods, Sandler, O Neill & Partners, Piper Jaffray, D.A. Davidson & Co."
1576942,IPO,"Stitch Fix, Inc.","San Francisco, CA",SFIX,Nasdaq NM,2017-10-19,18,20,$230.0 mil.,"Goldman Sachs & Co., J.P. Morgan, Barclays Capital, RBC Capital Markets, Piper Jaffray, Stifel, William Blair & Co."
1316016,IPO,Aquantia Corp.,"San Jose, CA",AQ,NYSE,2017-10-06,10,12,$94.1 mil.,"Morgan Stanley, Barclays Capital, Deutsche Bank Securities, Needham & Company, Raymond James"
1145057,IPO,"ForeScout Technologies, Inc.","San Jose, CA",FSCT,Nasdaq NM,2017-10-02,20,22,$121.4 mil.,"Morgan Stanley, J.P. Morgan, Citigroup, BofA Merrill Lynch, UBS Investment Bank, KeyBanc Capital Markets"
1080657,IPO,"NetREIT, Inc.","Escondido, CA",SQFT,NYSE,2017-09-18,-,-,$69.0 mil.,"Janney Montgomery Scott, LLC"
1680062,IPO,"ACM Research, Inc.","Fremont, CA",ACMR,Nasdaq NM,2017-09-13,7.5,9.5,$21.9 mil.,"Roth Capital Partners, Craig-Hallum Capital Group, The Benchmark Company"
1661053,IPO,"Hancock Jaffe Laboratories, Inc.","Irvine, CA",HJLI,Nasdaq NM,2017-09-07,6,8,$15.0 mil.,"Network 1 Financial Securities, Inc., WallachBeth Capital, LLC"
1705012,IPO,FAT Brands Inc.,"Beverly Hills, CA",FAT,Nasdaq NM,2017-09-06,12,-,$24.0 mil.,"TriPoint Global Equities, LLC"
1409269,IPO,Restoration Robotics Inc,"San Jose, CA",HAIR,Nasdaq NM,2017-09-01,7,9,$32.3 mil.,"National Securities, Roth Capital Partners, Craig-Hallum Capital Group"
1428439,IPO,"Roku, Inc.","Los Gatos, CA",ROKU,Nasdaq NM,2017-09-01,12,14,$252.3 mil.,"Morgan Stanley, Citigroup, Allen & Co. Inc., RBC Capital Markets, Needham & Company, Oppenheimer & Co. Inc., William Blair & Co."
1705771,IPO,Draper Oakwood Technology Acquisition Inc.,"San Mateo, CA",DOTAU,Nasdaq NM,2017-08-25,10,-,$50.0 mil.,Early Bird Capital
1706946,IPO,Social Capital Hedosophia Holdings Corp.,"Palo Alto, CA",IPOA.U,NYSE,2017-08-23,10,-,$575.0 mil.,Credit Suisse
1702528,IPO,Torrid Inc.,"City of Industry, CA",CURV,NYSE,2017-07-10,-,-,$100.0 mil.,"BofA Merrill Lynch, Morgan Stanley, Goldman Sachs & Co., J.P. Morgan, J.P. Morgan, Jefferies, Baird, Telsey Advisory Group, William Blair & Co."
1656328,IPO,"Sienna Biopharmaceuticals, Inc.","Westlake Village, CA",SNNA,Nasdaq NM,2017-07-03,14,16,$74.7 mil.,"J.P. Morgan, Cowen, BMO Capital Markets"
1499422,IPO,RBB Bancorp,"Los Angeles, CA",RBB,Nasdaq NM,2017-06-28,22,24,$82.8 mil.,"Sandler, O Neill & Partners, Keefe, Bruyette & Woods, Stephens, Inc., FIG Partners LLC"
1703497,IPO,"YogaWorks, Inc.","Culver City, CA",YOGA,Nasdaq NM,2017-06-23,5.5,6.5,$80.5 mil.,"Cowen, Stephens, Inc., Guggenheim Securities, Roth Capital Partners, Imperial Capital"
