CIK,OFFER_TYPE,NAME,LOCATION,SYMBOL,EXCHANGE,FILING_DATE,PRICE_LOW,PRICE_HIGH,AMOUNT,UWRITERS
1501432,IPO,Full Spectrum Inc.,"Sunnyvale, CA",FMAX,Nasdaq NM,2016-06-30,7,9,$17.3 mil.,Joseph Gunnar & Co LLC
1643858,IPO,"Blue Coat, Inc.","Sunnyvale, CA",BLCT,NYSE,2016-06-02,-,-,$100.0 mil.,"Morgan Stanley, J.P. Morgan, Credit Suisse, Goldman Sachs & Co., Jefferies, UBS Investment Bank, RBC Capital Markets, Wells Fargo Securities, Cowen, Pacific Crest Securities, Piper Jaffray, William Blair & Co."
1447669,IPO,Twilio Inc.,"San Francisco, CA",TWLO,NYSE,2016-05-26,12,14,$161.0 mil.,"Goldman Sachs & Co., J.P. Morgan, Allen & Co. Inc., Pacific Crest Securities, JMP Securities, William Blair & Co., Canaccord Genuity"
1566469,IPO,"NantHealth, Inc.","Culver City, CA",NH,Nasdaq NM,2016-05-06,12.5,15.5,$115.9 mil.,"Jefferies, Cowen, First Analysis Securities Corporation, FBR"
879682,IPO,"Viveve Medical, Inc.","Sunnyvale, CA",VIVE,Nasdaq NM,2016-04-19,8,-,$14.4 mil.,"Ladenburg Thalmann, Craig-Hallum Capital Group, Maxim Group LLC"
1652761,IPO,Hunting Dog Capital Corp.,"San Francisco, CA",HDCC,Nasdaq NM,2016-03-04,-,-,$50.0 mil.,"WR Hambrecht + Co, LLC"
1660067,IPO,Colony Global Acquisition Corp.,"Los Angeles, CA",CCACU,Nasdaq NM,2016-02-05,10,-,$345.0 mil.,Credit Suisse
1628738,IPO,"Audentes Therapeutics, Inc.","San Francisco, CA",BOLD,Nasdaq NM,2016-01-04,14,16,$92.0 mil.,"BofA Merrill Lynch, Cowen, Piper Jaffray, Wedbush PacGrow Life Sciences"
1626971,IPO,"Corvus Pharmaceuticals, Inc.","Burlingame, CA",CRVS,Nasdaq NM,2016-01-04,15,17,$115.0 mil.,"Credit Suisse, Cowen, Guggenheim Securities, Cantor, BTIG"
1618732,IPO,"Nutanix, Inc.","San Jose, CA",NTNX,Nasdaq NM,2015-12-22,13,15,$241.5 mil.,"Goldman Sachs & Co., Morgan Stanley, J.P. Morgan, RBC Capital Markets, Baird, Needham & Company, Oppenheimer & Co. Inc., Pacific Crest Securities, Piper Jaffray, Raymond James, Stifel, William Blair & Co."
1625101,IPO,"Pulse Biosciences, Inc.","Burlingame, CA",PLSE,Nasdaq NM,2015-12-22,4,-,$23.0 mil.,MDB Capital Group LLC
727634,IPO,iSign Solutions Inc.,"Redwood Shores, CA",ISGN,Nasdaq NM,2015-12-17,-,-,$11.5 mil.,Joseph Gunnar & Co LLC
1651530,IPO,"Shimmick Construction Company, Inc.","Oakland, CA",SCCI,Nasdaq NM,2015-11-04,11,13,$86.3 mil.,"FBR, BB&T Capital Markets, D.A. Davidson & Co."
1422143,IPO,"Kura Oncology, Inc.","La Jolla, CA",KURA,Nasdaq NM,2015-10-20,16,-,$86.3 mil.,"Citigroup, SVB Leerink, JMP Securities, Oppenheimer & Co. Inc."
1648798,IPO,"Ballast Point Brewing & Spirits, Inc.","San Diego, CA",PINT,Nasdaq NM,2015-10-19,-,-,$172.5 mil.,"Goldman Sachs & Co., Morgan Stanley, Baird, BMO Capital Markets, Cowen, Nomura Securities"
1337425,IPO,Ellipse Technologies Inc,"Aliso Viejo, CA",MGEC,Nasdaq NM,2015-10-16,-,-,$75.0 mil.,"Piper Jaffray, William Blair & Co., Canaccord Genuity   , Oppenheimer & Co. Inc."
1512673,IPO,"Square, Inc.","San Francisco, CA",SQ,NYSE,2015-10-14,11,13,$403.7 mil.,"Goldman Sachs & Co., Morgan Stanley, J.P. Morgan"
1651502,IPO,"loanDepot, Inc.","Foothill Ranch, CA",LDI,NYSE,2015-10-08,16,18,$621.0 mil.,"Morgan Stanley, Goldman Sachs & Co., Wells Fargo Securities, Barclays Capital, UBS Investment Bank, BMO Capital Markets"
1552451,IPO,MyoKardia Inc,"South San Francisco, CA",MYOK,Nasdaq NM,2015-09-28,15,17,$91.6 mil.,"Credit Suisse, Cowen, BMO Capital Markets, Wedbush PacGrow Life Sciences"
1395848,IPO,Adesto Technologies Corp.,"Sunnyvale, CA",IOTS,Nasdaq NM,2015-09-14,7,-,$56.6 mil.,"Needham & Company, Oppenheimer & Co. Inc., Roth Capital Partners"
1370053,IPO,"AnaptysBio, Inc.","San Diego, CA",ANAB,Nasdaq NM,2015-09-09,14,16,$86.3 mil.,"BMO Capital Markets, Stifel, JMP Securities, Wedbush PacGrow Life Sciences"
,,,,,,,,,,
